segment_id,processing_day,icao24,segment_start_time,segment_end_time,gap_duration_minutes,adsc_point_count,segment_callsign,flight_callsign,flight_start_time,flight_end_time,estdepartureairport,estarrivalairport,is_valid,reasons,before_count,during_count,after_count,before_boundary_speed_kts,after_boundary_speed_kts,max_internal_speed_kts,median_internal_speed_kts,artifact_dir,adsc_path,adsb_before_path,adsb_after_path,stitched_minimal_path,metadata_path
20240901_40797c_013550_024234,2024-09-01,40797c,2024-09-01 01:35:50,2024-09-01 02:42:34,66.73333333333333,5,,BAW9E,2024-09-01 01:05:06,2024-09-01 07:13:16,KEWR,EGLL,True,[],3217,0,5085,573.8415911463118,493.14389275349384,528.7790678026715,518.5969984780802,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_40797c_013550_024234,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_40797c_013550_024234/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_40797c_013550_024234/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_40797c_013550_024234/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_40797c_013550_024234/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_40797c_013550_024234/metadata.json
20240901_40787b_022600_033827,2024-09-01,40787b,2024-09-01 02:26:00,2024-09-01 03:38:27,72.45,4,,TOM855,2024-09-01 00:36:11,2024-09-01 08:13:29,,EGBB,True,[],520,0,4174,499.99736246680146,526.0978116479856,506.6226448774169,490.4597789851426,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_40787b_022600_033827,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_40787b_022600_033827/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_40787b_022600_033827/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_40787b_022600_033827/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_40787b_022600_033827/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_40787b_022600_033827/metadata.json
20240901_4078dd_024749_034819,2024-09-01,4078dd,2024-09-01 02:47:49,2024-09-01 03:48:19,60.5,6,,BAW9NF,2024-09-01 02:09:57,2024-09-01 08:34:11,KPHL,EGLL,True,[],3386,0,5782,581.8692383735132,495.4075592535864,570.8690215580481,529.735944662139,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_4078dd_024749_034819,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_4078dd_024749_034819/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_4078dd_024749_034819/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_4078dd_024749_034819/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_4078dd_024749_034819/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_4078dd_024749_034819/metadata.json
20240901_4067f5_030745_042410,2024-09-01,4067f5,2024-09-01 03:07:45,2024-09-01 04:24:10,76.41666666666667,4,,TOM535,2024-09-01 00:05:58,2024-09-01 08:52:27,MMUN,EGBB,True,[],2061,0,4310,587.4745832786664,472.5328469618462,541.5713922832912,513.1406280069318,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_4067f5_030745_042410,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_4067f5_030745_042410/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_4067f5_030745_042410/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_4067f5_030745_042410/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_4067f5_030745_042410/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_4067f5_030745_042410/metadata.json
20240901_400684_032019_044231,2024-09-01,400684,2024-09-01 03:20:19,2024-09-01 04:42:31,82.2,3,,BAW18B,2024-09-01 03:05:03,2024-09-01 09:37:14,TXKF,EGLL,True,[],1354,0,4819,505.86066058656115,518.3238105210946,501.41003905620676,490.35974198593493,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_400684_032019_044231,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_400684_032019_044231/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_400684_032019_044231/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_400684_032019_044231/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_400684_032019_044231/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_400684_032019_044231/metadata.json
20240901_4067f6_033657_043740,2024-09-01,4067f6,2024-09-01 03:36:57,2024-09-01 04:37:40,60.71666666666667,3,,TOM621,2024-09-01 00:17:51,2024-09-01 08:47:23,MMUN,EGPF,True,[],1425,0,2176,583.8837766952832,477.3357875826137,523.54098093412,509.07726008945406,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_4067f6_033657_043740,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_4067f6_033657_043740/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_4067f6_033657_043740/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_4067f6_033657_043740/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_4067f6_033657_043740/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_4067f6_033657_043740/metadata.json
20240901_c01a61_041905_054428,2024-09-01,c01a61,2024-09-01 04:19:05,2024-09-01 05:44:28,85.38333333333334,4,,ACA820,2024-09-01 03:58:58,2024-09-01 11:18:58,CYYZ,LEBL,True,[],2150,0,5070,534.6663156988257,518.5742399461036,526.6599102402342,523.8020697166171,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_c01a61_041905_054428,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_c01a61_041905_054428/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_c01a61_041905_054428/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_c01a61_041905_054428/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_c01a61_041905_054428/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_c01a61_041905_054428/metadata.json
20240901_c023bd_042348_053309,2024-09-01,c023bd,2024-09-01 04:23:48,2024-09-01 05:33:09,69.35,5,,ACA822,2024-09-01 04:27:40,2024-09-01 10:55:48,CYUL,LEBL,True,[],1759,0,7814,571.6698835233433,497.3729960856284,553.9955658608363,527.0843372480839,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_c023bd_042348_053309,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_c023bd_042348_053309/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_c023bd_042348_053309/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_c023bd_042348_053309/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_c023bd_042348_053309/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_c023bd_042348_053309/metadata.json
20240901_06a129_045019_055032,2024-09-01,06a129,2024-09-01 04:50:19,2024-09-01 05:50:32,60.21666666666667,3,,QTR54C,2024-09-01 03:14:52,2024-09-01 21:40:21,KATL,,True,[],1830,0,9707,606.9270638052391,490.83962869536737,540.5368517259814,526.6451345531248,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_06a129_045019_055032,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_06a129_045019_055032/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_06a129_045019_055032/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_06a129_045019_055032/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_06a129_045019_055032/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_06a129_045019_055032/metadata.json
20240901_a8cecd_051452_062412,2024-09-01,a8cecd,2024-09-01 05:14:52,2024-09-01 06:24:12,69.33333333333333,2,,LXJ667,2024-09-01 01:56:17,2024-09-01 12:42:19,KHOU,LMML,True,[],2549,0,10188,524.5754162934851,522.3601507765266,520.0946193063293,520.0946193063293,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_a8cecd_051452_062412,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_a8cecd_051452_062412/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_a8cecd_051452_062412/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_a8cecd_051452_062412/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_a8cecd_051452_062412/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/new/step1_raw_2024-09-01_to_2024-10-01/flights/20240901_a8cecd_051452_062412/metadata.json
