flight,step,gap_minutes,gc_gap_km,raw_adsb_dist_km,baseline_dist_km,kalman_dist_km,gru_dist_km,adsc_true_dist_km,baseline_gap_km,kalman_gap_km,gru_gap_km,baseline_dev_km,kalman_dev_km,gru_dev_km,raw_co2_kg,baseline_co2_kg,kalman_co2_kg,gru_co2_kg,adsc_co2_kg
20231118_4005bd_022514_042151,step1_raw_2023-11-01_to_2023-12-01,193.2,3109.7,2189.8,5299.5,5302.5,5560.2,5319.5,3077.6,3112.7,3084.4,0.6,52.7,245.1,41606.0,100690.0,100748.0,105644.0,101071.0
20231118_400685_211041_005930,step1_raw_2023-11-01_to_2023-12-01,312.8,4035.1,1313.2,5348.3,5348.5,5897.1,5431.7,4009.4,4035.3,4140.3,1.0,18.6,359.9,24950.0,101618.0,101622.0,112045.0,103202.0
20231118_406f76_220426_230616,step1_raw_2023-11-01_to_2023-12-01,261.8,3475.7,1094.7,4570.4,4599.8,5155.9,4580.2,3449.3,3505.1,3520.0,0.8,188.1,412.6,20799.0,86838.0,87396.0,97961.0,87023.0
20231118_407af2_033436_044744,step1_raw_2023-11-01_to_2023-12-01,192.8,3127.9,2157.5,5285.4,5288.3,5621.5,5293.6,3095.7,3130.8,3136.9,0.6,48.8,286.7,40992.0,100423.0,100477.0,106809.0,100579.0
20231118_491d87_021444_033117,step1_raw_2023-11-01_to_2023-12-01,253.5,3532.7,1175.9,4708.5,4713.6,5207.0,4751.9,3504.9,3537.7,3495.0,0.8,73.4,384.3,22341.0,89462.0,89558.0,98932.0,90286.0
20231118_4bb0e6_223010_233517,step1_raw_2023-11-01_to_2023-12-01,180.5,3086.0,3530.1,6616.2,6616.2,6838.5,6621.4,3051.9,3086.0,3046.8,0.6,1.3,225.1,67073.0,125707.0,125707.0,129931.0,125807.0
20231118_89644f_234749_005132,step1_raw_2023-11-01_to_2023-12-01,185.0,3144.4,3899.9,7044.3,7045.8,7281.3,7046.1,3110.6,3145.9,3109.1,0.6,36.1,236.2,74098.0,133842.0,133869.0,138345.0,133875.0
20231118_a05648_032602_043910,step1_raw_2023-11-01_to_2023-12-01,187.2,3051.7,2499.4,5551.1,5555.5,5843.3,5557.8,3019.2,3056.1,3039.4,0.6,62.4,263.4,47488.0,105470.0,105555.0,111023.0,105598.0
20231118_ac0196_023026_033946,step1_raw_2023-11-01_to_2023-12-01,188.8,3089.8,1414.9,4504.7,4505.5,4769.9,4528.5,3057.2,3090.6,3065.0,0.6,25.8,249.0,26883.0,85589.0,85604.0,90628.0,86042.0
20231118_ac308f_041627_053315,step1_raw_2023-11-01_to_2023-12-01,256.5,4258.9,1660.5,5919.4,5919.4,6110.9,5951.7,4225.7,4258.9,4206.2,1.2,8.5,207.9,31549.0,112468.0,112469.0,116106.0,113083.0
20231119_39d2a2_015148_030016,step1_raw_2023-11-01_to_2023-12-01,196.0,3397.3,2144.9,5542.2,5546.9,5819.1,5546.5,3362.8,3401.9,3369.8,0.8,67.6,266.5,40754.0,105302.0,105390.0,110564.0,105384.0
20231119_3c4b32_032015_042935,step1_raw_2023-11-01_to_2023-12-01,185.8,3184.1,2729.6,5913.7,5921.0,6168.5,5917.5,3150.1,3191.4,3150.9,0.7,76.2,250.2,51862.0,112361.0,112500.0,117202.0,112433.0
20231119_407af2_032000_043851,step1_raw_2023-11-01_to_2023-12-01,181.2,3161.3,2206.3,5367.7,5373.9,5617.3,5371.0,3126.6,3167.6,3123.6,0.6,74.3,245.5,41920.0,101985.0,102104.0,106728.0,102048.0
20231119_4bb46e_014306_034308,step1_raw_2023-11-01_to_2023-12-01,288.5,3625.7,1191.1,4816.8,4817.2,5388.9,4817.2,3600.6,3626.1,3634.2,0.9,21.5,412.1,22631.0,91519.0,91527.0,102389.0,91526.0
20231119_89639f_224350_235415,step1_raw_2023-11-01_to_2023-12-01,160.5,3058.8,1337.6,4396.4,4399.0,4627.8,4420.5,3020.8,3061.4,3019.2,0.6,44.1,231.4,25415.0,83533.0,83581.0,87928.0,83990.0
20231119_a105b0_040845_051322,step1_raw_2023-11-01_to_2023-12-01,190.0,3299.7,2388.4,5688.1,5689.9,5979.2,5688.7,3265.1,3301.4,3274.2,0.7,40.3,272.2,45381.0,108075.0,108108.0,113605.0,108085.0
20231119_ac0196_031405_043717,step1_raw_2023-11-01_to_2023-12-01,207.5,3450.9,2672.7,6123.6,6137.9,6434.4,6159.0,3417.9,3465.2,3434.7,0.8,114.5,275.8,50782.0,116349.0,116621.0,122254.0,117021.0
20231119_ad68d3_034248_045254,step1_raw_2023-11-01_to_2023-12-01,177.0,3098.4,3345.8,6444.1,6448.4,6658.1,6445.3,3063.6,3102.6,3047.7,0.6,57.3,228.5,63570.0,122439.0,122519.0,126505.0,122461.0
20231120_34628d_012544_030223,step1_raw_2023-11-01_to_2023-12-01,218.8,3671.1,1901.9,5573.0,5575.0,5641.3,5621.7,3637.7,3673.0,3579.3,0.9,49.2,120.2,36137.0,105887.0,105924.0,107185.0,106812.0
20231120_39cf0a_014715_025123,step1_raw_2023-11-01_to_2023-12-01,197.8,3422.9,2025.0,5447.9,5447.9,5679.9,5459.4,3388.5,3422.9,3386.1,0.8,5.4,253.1,38475.0,103510.0,103510.0,107919.0,103729.0
20231120_477ff6_022846_040059,step1_raw_2023-11-01_to_2023-12-01,329.5,4058.4,1568.7,5627.1,5627.2,5749.5,5641.4,4033.9,4058.5,4006.5,1.0,9.3,162.5,29806.0,106915.0,106916.0,109240.0,107187.0
20231120_4aca65_020442_030843,step1_raw_2023-11-01_to_2023-12-01,213.8,3814.6,2083.9,5898.5,5910.1,6099.5,5899.7,3779.1,3826.3,3791.2,0.8,116.3,213.7,39593.0,112071.0,112292.0,115891.0,112095.0
20231120_ac17e6_020350_035615,step1_raw_2023-11-01_to_2023-12-01,215.2,3676.1,1334.4,5010.5,5024.4,5182.7,5038.2,3642.0,3690.0,3615.6,0.9,130.4,198.9,25354.0,95200.0,95463.0,98472.0,95725.0
20231120_ac308f_031611_042530,step1_raw_2023-11-01_to_2023-12-01,250.2,4390.1,2228.0,6618.0,6624.5,6809.9,6662.7,4355.1,4396.6,4357.8,1.3,99.9,242.5,42331.0,125743.0,125866.0,129387.0,126591.0
20230708_01012a_100247_105842,step1_raw_20230707_20230731,227.8,3480.7,2004.7,5485.4,5486.7,5519.2,5622.5,3450.3,3482.0,3420.8,0.7,37.7,60.3,38089.0,104223.0,104248.0,104864.0,106828.0
20230708_0101e0_115103_124631,step1_raw_20230707_20230731,226.5,3494.6,2027.6,5522.3,5531.5,5585.5,5526.8,3463.8,3503.9,3418.3,0.7,105.8,132.8,38525.0,104923.0,105099.0,106124.0,105009.0
20230708_040203_105633_115102,step1_raw_20230707_20230731,212.2,3298.7,2507.1,5805.7,5810.9,5933.4,5807.5,3267.7,3303.9,3264.8,0.7,74.8,102.9,47635.0,110309.0,110408.0,112735.0,110343.0
20230708_06a0e9_161343_161418,step1_raw_20230707_20230731,209.5,3187.3,2047.9,5235.2,5237.6,5402.9,5235.4,3157.1,3189.7,3166.5,0.6,44.9,134.3,38910.0,99469.0,99514.0,102655.0,99473.0
20230708_3965b0_114354_124236,step1_raw_20230707_20230731,220.2,3336.2,2020.1,5356.4,5443.3,5484.1,5361.6,3306.0,3423.2,3303.4,0.7,320.4,121.5,38383.0,101771.0,103423.0,104198.0,101870.0
20230708_39c426_133135_142703,step1_raw_20230707_20230731,364.8,5637.3,2153.6,7790.9,7793.0,7803.8,7821.0,5606.5,5639.3,5598.4,1.6,68.1,108.0,40919.0,148028.0,148066.0,148271.0,148599.0
20230708_4005bb_132246_150522,step1_raw_20230707_20230731,237.0,3548.3,1632.3,5180.6,5181.7,5351.5,5181.4,3518.5,3549.4,3522.9,0.8,37.7,141.1,31014.0,98431.0,98453.0,101679.0,98447.0
20230708_4005be_135507_151954,step1_raw_20230707_20230731,233.0,3498.2,1880.5,5378.7,5383.3,5412.0,5387.3,3468.3,3502.8,3442.1,0.8,74.9,61.1,35730.0,102196.0,102283.0,102828.0,102358.0
20230708_4006c2_143857_154752,step1_raw_20230707_20230731,234.2,3556.3,3357.4,6913.6,6916.1,6924.5,6915.4,3526.0,3558.7,3493.3,0.8,54.9,24.3,63790.0,131359.0,131406.0,131565.0,131393.0
20230708_400772_152055_161044,step1_raw_20230707_20230731,396.8,5806.8,807.5,6614.3,6614.3,6740.9,6629.6,5777.6,5806.9,5792.0,1.8,10.9,116.7,15342.0,125672.0,125672.0,128078.0,125963.0
20230708_4b1885_133319_150945,step1_raw_20230707_20230731,227.2,3316.0,2943.5,6259.5,6310.9,6562.4,6264.5,3286.9,3367.4,3311.2,0.7,244.9,227.5,55926.0,118930.0,119907.0,124685.0,119026.0
20230708_4bb18f_125053_134938,step1_raw_20230707_20230731,226.8,3446.5,2452.8,5899.4,5931.9,5955.9,5929.4,3416.3,3479.1,3378.3,0.7,191.4,145.9,46604.0,112088.0,112706.0,113162.0,112659.0
20230708_70209e_134512_145123,step1_raw_20230707_20230731,224.5,3515.3,2230.8,5746.1,5746.4,5955.0,5747.3,3484.1,3515.6,3493.0,0.7,19.8,172.9,42385.0,109175.0,109181.0,113145.0,109199.0
20230708_8963e9_112435_121941,step1_raw_20230707_20230731,233.8,3587.9,1896.8,5484.7,5485.6,5511.5,5485.5,3557.3,3588.7,3526.3,0.8,31.5,59.9,36040.0,104210.0,104226.0,104719.0,104224.0
20230708_8964e3_110039_113843,step1_raw_20230707_20230731,224.8,3394.9,1583.3,4978.2,4978.5,4998.8,4985.0,3364.9,3395.2,3331.1,0.7,18.3,90.5,30082.0,94586.0,94592.0,94977.0,94714.0
20230708_a5d1a2_122902_161821,step1_raw_20230707_20230731,260.5,3998.3,4500.2,8498.5,8500.4,8578.6,8512.7,3967.6,4000.2,3915.4,0.9,51.5,154.7,85504.0,161472.0,161507.0,162993.0,161741.0
20230708_a661c7_113009_123422,step1_raw_20230707_20230731,215.5,3276.7,2542.8,5819.5,5827.0,5977.3,5823.6,3246.5,3284.1,3243.3,0.7,82.0,130.4,48314.0,110571.0,110713.0,113568.0,110649.0
20230708_aa1a16_133709_151529,step1_raw_20230707_20230731,258.0,3692.2,2967.0,6659.2,6671.1,6881.2,6719.2,3663.7,3704.1,3644.3,0.9,126.0,197.3,56373.0,126524.0,126751.0,130743.0,127666.0
20230708_aa7f5e_142045_155236,step1_raw_20230707_20230731,216.8,3353.9,2759.5,6113.4,6147.7,6199.8,6116.3,3323.1,3388.2,3307.6,0.7,191.2,78.0,52430.0,116155.0,116805.0,117797.0,116210.0
20230708_ac17e6_125501_133637,step1_raw_20230707_20230731,225.8,3438.8,2467.3,5906.1,5929.1,6062.4,5906.6,3408.5,3461.8,3406.7,0.7,159.2,142.3,46879.0,112216.0,112653.0,115186.0,112225.0
20230708_ac21af_135232_145532,step1_raw_20230707_20230731,221.0,3393.8,2172.7,5566.5,5566.6,5590.4,5567.0,3363.2,3393.9,3343.7,0.7,13.0,62.5,41282.0,105763.0,105766.0,106218.0,105772.0
20230708_ac2cb2_130903_140737,step1_raw_20230707_20230731,228.5,3344.7,2300.1,5644.8,5674.8,5965.4,5651.6,3315.5,3374.8,3336.7,0.7,187.5,236.8,43702.0,107251.0,107822.0,113342.0,107380.0
20230708_c00ae5_153215_160421,step1_raw_20230707_20230731,315.0,3629.1,949.1,4578.1,4591.9,4683.8,4604.7,3606.1,3642.8,3563.1,0.8,136.5,160.2,18032.0,86985.0,87246.0,88992.0,87489.0
20230708_c02ec1_092844_101850,step1_raw_20230707_20230731,232.0,3560.4,1471.1,5031.4,5031.6,5118.0,5032.7,3529.8,3560.5,3512.4,0.8,13.8,70.1,27950.0,95597.0,95601.0,97242.0,95621.0
20230708_c058c3_124008_135952,step1_raw_20230707_20230731,221.5,3347.6,2316.1,5663.7,5673.0,5769.7,5667.8,3317.6,3356.9,3318.4,0.7,93.8,69.9,44005.0,107611.0,107787.0,109624.0,107689.0
20230709_040187_085652_093702,step1_raw_20230707_20230731,214.0,3339.8,3032.8,6372.6,6380.7,6470.8,6378.6,3308.7,3347.8,3299.5,0.7,93.3,107.4,57624.0,121080.0,121233.0,122946.0,121194.0
20230709_04021d_093639_102143,step1_raw_20230707_20230731,222.8,3471.8,1891.5,5363.4,5394.3,5386.5,5363.4,3440.8,3502.7,3421.8,0.7,186.1,39.1,35939.0,101904.0,102491.0,102344.0,101905.0
20230709_06a1bb_160211_171344,step1_raw_20230707_20230731,227.0,3558.9,3345.1,6904.0,6908.5,6951.8,6908.7,3527.7,3563.4,3486.3,0.8,72.6,104.6,63556.0,131175.0,131261.0,132085.0,131266.0
20230709_39cdce_130547_145946,step1_raw_20230707_20230731,389.0,5682.2,891.8,6574.0,6731.9,6834.7,6647.1,5653.1,5840.0,5721.1,1.5,607.3,259.4,16945.0,124907.0,127906.0,129859.0,126294.0
20230709_39cf09_134320_142625,step1_raw_20230707_20230731,218.8,3411.7,3964.4,7376.1,7389.7,7662.8,7388.2,3380.7,3425.3,3410.2,0.7,120.0,210.9,75324.0,140146.0,140405.0,145594.0,140376.0
20230709_4005bb_151434_162355,step1_raw_20230707_20230731,395.8,5748.1,987.5,6735.6,6860.1,6806.9,6832.4,5719.1,5872.6,5732.7,1.4,540.8,109.3,18763.0,127976.0,130342.0,129332.0,129816.0
20230709_400685_123218_140651,step1_raw_20230707_20230731,228.2,3549.5,1805.3,5354.8,5391.8,5445.4,5366.9,3518.5,3586.6,3514.1,0.8,214.9,96.2,34300.0,101740.0,102445.0,103463.0,101971.0
20230709_400772_142637_153558,step1_raw_20230707_20230731,390.8,5730.8,895.8,6626.7,6653.4,6848.2,6628.0,5701.6,5757.6,5728.5,2.0,248.4,261.8,17021.0,125906.0,126414.0,130116.0,125933.0
20230709_40745e_135308_143444,step1_raw_20230707_20230731,210.5,3297.7,3397.5,6695.2,6695.6,6771.4,6698.7,3266.5,3298.2,3253.5,0.7,22.5,73.5,64552.0,127209.0,127217.0,128657.0,127276.0
20230709_40787b_130116_141737,step1_raw_20230707_20230731,214.5,3395.4,4780.4,8175.8,8225.9,8248.2,8185.4,3363.8,3445.4,3356.9,0.7,242.4,84.3,90828.0,155341.0,156292.0,156716.0,155523.0
20230709_4aca64_155130_170741,step1_raw_20230707_20230731,260.0,4041.4,2659.5,6701.0,6735.2,6748.8,6717.8,4010.5,4075.7,3978.3,0.9,224.3,85.2,50531.0,127318.0,127969.0,128227.0,127639.0
20230709_896187_110326_120227,step1_raw_20230707_20230731,220.0,3506.9,2143.0,5649.9,5653.8,5743.2,5657.9,3475.2,3510.7,3477.1,0.7,66.7,101.6,40718.0,107349.0,107422.0,109120.0,107500.0
20230709_8964b2_104419_114042,step1_raw_20230707_20230731,230.2,3598.6,1689.1,5287.7,5288.8,5413.7,5288.3,3567.4,3599.7,3567.3,0.8,37.0,110.2,32093.0,100467.0,100487.0,102860.0,100478.0
20230709_a0f427_141125_145325,step1_raw_20230707_20230731,285.5,4332.6,1929.2,6261.8,6271.0,6267.8,6265.9,4302.4,4341.8,4277.2,1.1,117.9,50.4,36655.0,118975.0,119148.0,119088.0,119052.0
20230709_a67811_122827_132249,step1_raw_20230707_20230731,212.0,3311.3,3036.3,6347.7,6350.1,6396.3,6362.7,3280.3,3313.8,3261.4,0.7,49.5,67.7,57691.0,120606.0,120652.0,121530.0,120891.0
20230709_aa8315_113707_123143,step1_raw_20230707_20230731,215.5,3368.7,1505.6,4874.3,4874.3,5012.4,4883.5,3337.6,3368.7,3338.6,0.7,0.2,126.4,28606.0,92611.0,92611.0,95235.0,92786.0
20230709_aabf80_140728_160959,step1_raw_20230707_20230731,262.2,3689.0,3476.8,7165.8,7203.8,7537.6,7214.3,3661.0,3727.0,3651.4,0.9,226.5,293.7,66058.0,136150.0,136872.0,143215.0,137071.0
20230709_c02ee7_132741_140917,step1_raw_20230707_20230731,212.8,3358.5,1652.7,5011.2,5019.5,5229.1,5020.0,3327.1,3366.8,3344.2,0.7,93.5,177.0,31401.0,95213.0,95370.0,99352.0,95380.0
20230709_c058bb_134958_150745,step1_raw_20230707_20230731,216.5,3368.8,2621.5,5990.3,6001.0,6214.0,6017.8,3337.8,3379.5,3354.3,0.7,111.4,176.6,49808.0,113816.0,114019.0,118066.0,114338.0
20230710_4005c0_153356_160141,step1_raw_20230707_20230731,216.0,3274.5,1772.2,5046.6,5049.5,5315.1,5062.9,3244.3,3277.3,3274.1,0.7,54.9,202.6,33671.0,95886.0,95940.0,100987.0,96196.0
20230710_400685_150753_164459,step1_raw_20230707_20230731,326.5,4797.4,548.7,5346.1,5346.7,5684.3,5350.6,4768.1,4798.0,4828.5,1.4,34.0,296.2,10425.0,101575.0,101586.0,108001.0,101660.0
20230710_400772_150929_161850,step1_raw_20230707_20230731,390.5,5837.5,739.1,6576.6,6649.2,6615.5,6599.0,5807.6,5910.1,5803.0,1.8,416.2,77.5,14043.0,124955.0,126336.0,125695.0,125381.0
20230710_4b1880_141635_154527,step1_raw_20230707_20230731,222.8,3246.7,2045.4,5292.1,5293.7,5542.8,5317.4,3217.7,3248.3,3242.3,0.6,41.2,188.5,38863.0,100551.0,100581.0,105313.0,101030.0
20230710_89617e_103608_114219,step1_raw_20230707_20230731,238.8,3729.7,3403.1,7132.8,7149.6,7142.1,7151.4,3698.6,3746.5,3674.5,0.8,144.3,20.2,64659.0,135523.0,135843.0,135700.0,135876.0
20230710_a67811_123204_133612,step1_raw_20230707_20230731,214.2,3317.9,3313.9,6631.9,6635.1,6979.4,6643.2,3287.1,3321.2,3321.3,0.7,60.5,261.8,62965.0,126005.0,126067.0,132608.0,126220.0
20230710_aa2ca9_133219_153443,step1_raw_20230707_20230731,228.8,3465.0,2789.6,6254.6,6254.9,6536.6,6304.4,3434.9,3465.4,3451.4,0.8,18.5,210.1,53002.0,118837.0,118843.0,124196.0,119783.0
20230710_aa4548_124102_144752,step1_raw_20230707_20230731,254.5,3741.8,1799.5,5541.3,5542.0,5945.1,5556.3,3712.4,3742.4,3677.6,0.9,29.0,337.9,34191.0,105285.0,105297.0,112957.0,105569.0
20230710_aabf80_150921_160450,step1_raw_20230707_20230731,217.2,3318.4,2409.4,5727.8,5737.0,5959.7,5742.4,3287.9,3327.5,3305.8,0.7,100.4,193.7,45779.0,108828.0,109002.0,113233.0,109106.0
20230710_ac1df7_124038_133606,step1_raw_20230707_20230731,223.5,3395.8,2782.5,6178.3,6245.6,6510.0,6206.5,3365.6,3463.1,3395.7,0.7,273.7,263.2,52867.0,117388.0,118667.0,123690.0,117924.0
20230711_040105_100655_105537,step1_raw_20230707_20230731,221.8,3388.9,2025.0,5413.9,5419.6,5565.7,5416.3,3358.5,3394.6,3355.9,0.7,78.3,124.7,38475.0,102863.0,102972.0,105748.0,102910.0
20230711_04021d_093146_101943,step1_raw_20230707_20230731,215.8,3277.1,2012.8,5289.9,5295.4,5333.7,5292.0,3246.9,3282.5,3233.6,0.7,74.3,58.2,38244.0,100509.0,100612.0,101340.0,100548.0
20230711_06a03d_134427_135922,step1_raw_20230707_20230731,34.0,467.0,2541.9,3008.9,3010.1,3265.2,3009.2,440.3,468.2,452.0,0.0,5.7,82.5,48296.0,57168.0,57193.0,62040.0,57174.0
20230711_4aca61_132322_150259,step1_raw_20230707_20230731,357.2,5435.0,1435.1,6870.1,6885.7,6886.5,6884.8,5404.7,5450.6,5387.4,1.3,182.8,117.3,27266.0,130532.0,130828.0,130843.0,130811.0
20230711_aa7082_113116_130542,step1_raw_20230707_20230731,228.2,3356.0,1729.5,5085.6,5085.6,5380.9,5094.5,3326.7,3356.1,3352.2,0.7,9.9,216.0,32861.0,96626.0,96627.0,102237.0,96796.0
20230712_0101db_102630_121307,step1_raw_20230707_20230731,302.2,4324.8,1463.9,5788.7,5798.7,6181.1,5803.2,4296.3,4334.9,4328.0,1.3,129.2,377.6,27813.0,109985.0,110176.0,117440.0,110260.0
20230712_04018f_093258_100803,step1_raw_20230707_20230731,223.0,3325.0,2694.5,6019.4,6023.1,6436.1,6056.1,3295.3,3328.6,3347.7,0.7,62.8,290.5,51195.0,114369.0,114439.0,122287.0,115065.0
20230712_06a0e8_103749_111535,step1_raw_20230707_20230731,148.2,2108.6,3730.2,5838.8,5838.9,5851.6,5839.9,2080.3,2108.6,2078.1,0.2,3.7,15.5,70874.0,110938.0,110938.0,111181.0,110958.0
20230712_4005c0_150311_170212,step1_raw_20230707_20230731,247.5,3511.0,1870.1,5381.2,5381.2,5637.1,5394.6,3482.8,3511.0,3507.1,0.8,3.8,185.3,35533.0,102242.0,102242.0,107106.0,102498.0
20230712_a05648_101812_120143,step1_raw_20230707_20230731,239.2,3805.0,5102.8,8907.8,8922.7,8964.5,8923.1,3773.3,3819.9,3724.4,1.0,140.0,110.9,96953.0,169248.0,169532.0,170325.0,169538.0
20230713_04021d_092956_103025,step1_raw_20230707_20230731,230.5,3370.9,2001.7,5372.6,5399.3,5455.5,5376.8,3341.7,3397.6,3331.0,0.7,177.5,83.2,38032.0,102079.0,102586.0,103655.0,102159.0
20230713_06a10e_090450_103027,step1_raw_20230707_20230731,161.8,2453.5,3733.9,6187.5,6197.4,6363.3,6256.9,2423.4,2463.4,2453.3,0.3,67.9,54.6,70945.0,117562.0,117750.0,120904.0,118882.0
20230713_407cd1_120515_130044,step1_raw_20230707_20230731,258.0,4127.3,2137.3,6264.6,6267.8,6462.0,6266.6,4095.4,4130.6,4106.0,1.1,68.1,217.7,40608.0,119027.0,119089.0,122778.0,119066.0
20230713_a9cecf_094802_112841,step1_raw_20230707_20230731,299.5,4349.2,960.3,5309.4,5319.7,5562.3,5328.7,4320.3,4359.4,4304.1,1.3,126.8,300.1,18245.0,100879.0,101074.0,105684.0,101245.0
20230714_040103_100043_105611,step1_raw_20230707_20230731,268.2,3801.2,1882.4,5683.6,5704.5,5692.2,5689.2,3772.9,3822.0,3742.2,0.9,170.4,21.8,35766.0,107988.0,108385.0,108151.0,108095.0
20230714_040106_104454_114023,step1_raw_20230707_20230731,228.2,3288.7,2092.3,5381.0,5383.6,5608.3,5395.6,3260.0,3291.3,3286.2,0.7,54.3,170.0,39753.0,102239.0,102288.0,106558.0,102516.0
20230714_040142_093028_095812,step1_raw_20230707_20230731,227.0,3359.4,3060.2,6419.7,6420.7,6743.0,6443.2,3330.0,3360.4,3369.6,0.7,33.9,242.5,58145.0,121974.0,121992.0,128118.0,122420.0
20230714_040219_100206_104343,step1_raw_20230707_20230731,238.2,3404.3,1843.5,5247.8,5258.2,5319.0,5251.7,3375.8,3414.7,3369.6,0.7,111.7,85.9,35026.0,99708.0,99906.0,101062.0,99783.0
20230714_407979_113802_124722,step1_raw_20230707_20230731,206.8,3291.5,3153.2,6444.7,6447.1,6673.6,6451.9,3259.9,3294.0,3254.1,0.7,46.5,226.9,59910.0,122449.0,122496.0,126798.0,122585.0
20230714_8964bc_145443_155730,step1_raw_20230707_20230731,421.0,6045.9,384.2,6430.1,6527.7,6474.0,6436.1,6017.2,6143.5,6010.4,0.2,492.2,23.3,7299.0,122171.0,124026.0,123006.0,122287.0
20230715_0101db_105100_113922,step1_raw_20230707_20230731,244.2,3503.2,1779.4,5282.6,5310.7,5297.7,5289.6,3474.6,3531.3,3447.5,0.7,187.2,45.1,33808.0,100370.0,100903.0,100656.0,100503.0
20230715_040187_101955_103909,step1_raw_20230707_20230731,223.2,3321.5,2786.4,6108.0,6108.2,6280.7,6108.4,3291.9,3321.8,3293.2,0.7,14.6,159.4,52942.0,116052.0,116056.0,119333.0,116059.0
20230715_040203_111451_120351,step1_raw_20230707_20230731,226.0,3234.9,2317.2,5552.1,5552.8,5605.4,5554.0,3206.4,3235.6,3187.6,0.6,27.2,72.9,44027.0,105490.0,105503.0,106503.0,105526.0
20230716_040106_094908_101742,step1_raw_20230707_20230731,237.0,3323.0,2393.9,5716.9,5717.2,6083.5,5733.0,3295.0,3323.3,3346.9,0.7,19.5,248.6,45484.0,108621.0,108627.0,115586.0,108927.0
20230716_04019a_102401_111929,step1_raw_20230707_20230731,316.5,4706.0,1796.5,6502.5,6503.1,6923.5,6519.0,4676.3,4706.6,4778.2,1.4,30.8,332.5,34134.0,123548.0,123559.0,131546.0,123862.0
20230716_040204_100309_105838,step1_raw_20230707_20230731,269.2,3771.5,1550.2,5321.7,5330.7,5408.4,5329.5,3743.6,3780.4,3714.0,0.9,111.6,142.6,29454.0,101113.0,101283.0,102760.0,101261.0
20230716_34604e_112421_125500,step1_raw_20230707_20230731,305.8,4952.8,1782.6,6735.3,6736.4,6778.0,6769.0,4920.5,4953.9,4887.3,1.6,46.9,128.1,33869.0,127972.0,127993.0,128783.0,128611.0
20230717_0101e0_103946_115634,step1_raw_20230707_20230731,287.5,4285.9,1426.6,5712.5,5713.8,6124.7,5715.8,4256.3,4287.2,4288.2,1.3,43.1,386.6,27105.0,108537.0,108562.0,116369.0,108599.0
20230717_040105_091908_111915,step1_raw_20230707_20230731,234.2,3326.1,2597.9,5923.9,5927.7,6073.9,5933.9,3297.8,3329.8,3305.4,0.7,65.3,130.4,49359.0,112555.0,112626.0,115404.0,112744.0
20230717_040187_091446_092838,step1_raw_20230707_20230731,315.8,4753.1,1561.3,6314.4,6318.6,6822.9,6320.1,4723.1,4757.3,4851.3,1.4,85.2,380.4,29664.0,119973.0,120053.0,129635.0,120082.0
20230717_06a0e7_103421_113843,step1_raw_20230707_20230731,175.5,2437.3,999.3,3436.7,3442.3,3451.4,3438.3,2409.8,2443.0,2409.7,0.2,48.0,14.4,18987.0,65296.0,65404.0,65576.0,65328.0
20230717_06a111_150424_150528,step1_raw_20230707_20230731,74.5,1115.8,1226.7,2342.5,2354.8,2349.3,2343.0,1086.1,1128.1,1082.8,0.1,31.1,8.1,23308.0,44508.0,44741.0,44637.0,44517.0
20230718_06a0f4_155433_160256,step1_raw_20230707_20230731,372.5,5726.6,1816.9,7543.5,7545.8,7561.4,7561.7,5695.9,5728.8,5655.8,1.1,72.1,138.7,34522.0,143327.0,143369.0,143666.0,143671.0
20230718_aa8315_112648_131635,step1_raw_20230707_20230731,237.0,3378.2,1691.6,5069.8,5070.5,5358.5,5077.8,3349.8,3378.8,3377.7,0.7,27.1,224.8,32141.0,96326.0,96339.0,101811.0,96478.0
20230719_040187_091701_095837,step1_raw_20230707_20230731,333.5,5034.6,1409.7,6444.3,6456.3,6910.8,6461.4,5004.5,5046.6,5138.5,1.6,148.7,375.6,26784.0,122441.0,122669.0,131304.0,122767.0
20230720_040106_092354_105648,step1_raw_20230707_20230731,227.5,3415.8,2253.5,5669.3,5671.4,6120.3,5723.5,3386.0,3417.9,3477.0,0.7,45.8,307.4,42817.0,107717.0,107756.0,116285.0,108747.0
20230720_040173_104101_104546,step1_raw_20230707_20230731,232.5,3300.6,1516.0,4816.6,4819.6,5141.0,4850.5,3272.2,3303.6,3305.5,0.7,58.5,253.2,28804.0,91515.0,91573.0,97679.0,92160.0
20230720_4b1885_134427_152723,step1_raw_20230707_20230731,241.0,3434.3,3294.6,6728.9,6729.0,7302.2,6846.7,3405.9,3434.3,3512.4,0.8,3.1,396.6,62598.0,127850.0,127850.0,138743.0,130087.0
20230720_7380c7_112847_131438,step1_raw_20230707_20230731,287.2,4277.0,3661.7,7938.7,7941.4,8408.1,8011.6,4247.3,4279.6,4331.8,1.2,63.4,435.5,69572.0,150836.0,150886.0,159753.0,152221.0
20230721_0101df_141405_152840,step1_raw_20230707_20230731,240.0,3370.0,2188.9,5558.9,5558.9,6089.4,5630.5,3342.0,3370.0,3433.0,0.7,1.3,350.6,41589.0,105619.0,105619.0,115699.0,106979.0
20230721_040198_110659_121353,step1_raw_20230707_20230731,235.8,3360.4,2186.6,5547.0,5624.8,6126.8,5615.9,3332.1,3438.2,3422.8,0.7,303.5,387.7,41545.0,105394.0,106871.0,116409.0,106702.0
