flight,step,gap_minutes,gc_gap_km,raw_adsb_dist_km,baseline_dist_km,kalman_dist_km,gru_dist_km,adsc_true_dist_km,baseline_gap_km,kalman_gap_km,gru_gap_km,baseline_dev_km,kalman_dev_km,gru_dev_km,raw_co2_kg,baseline_co2_kg,kalman_co2_kg,gru_co2_kg,adsc_co2_kg
20231019_3c6518_000829_020229,step1_raw_2023-10-01_to_2023-11-01,200.2,3254.0,2614.4,5868.4,5869.6,6064.4,5875.0,3221.6,3255.2,3207.4,0.7,33.7,197.8,49674.0,111500.0,111523.0,115224.0,111626.0
20231019_406590_035643_050604,step1_raw_2023-10-01_to_2023-11-01,202.8,3467.0,1970.6,5437.5,5462.9,5643.8,5498.3,3433.0,3492.3,3412.0,0.8,160.7,214.0,37441.0,103313.0,103794.0,107231.0,104467.0
20231019_406a35_022031_033439,step1_raw_2023-10-01_to_2023-11-01,241.8,4236.7,1312.2,5548.9,5560.3,5787.3,5649.5,4201.9,4248.2,4207.3,1.2,128.0,218.2,24931.0,105430.0,105646.0,109959.0,107340.0
20231019_406b05_025322_040243,step1_raw_2023-10-01_to_2023-11-01,199.5,3435.6,2014.7,5450.3,5475.8,5661.1,5516.4,3401.4,3461.1,3386.0,0.8,154.1,210.7,38280.0,103555.0,104040.0,107560.0,104812.0
20231019_4076e8_025715_041405,step1_raw_2023-10-01_to_2023-11-01,193.5,3234.4,1906.3,5140.7,5197.9,5344.2,5232.3,3201.2,3291.6,3181.4,0.7,233.5,208.2,36220.0,97673.0,98761.0,101540.0,99413.0
20231019_407799_052848_063656,step1_raw_2023-10-01_to_2023-11-01,188.0,3297.4,2157.7,5455.1,5457.8,5670.1,5520.1,3262.5,3300.1,3248.9,0.7,50.2,205.7,40996.0,103647.0,103697.0,107733.0,104883.0
20231019_40797c_043654_061253,step1_raw_2023-10-01_to_2023-11-01,242.0,4226.1,1397.2,5623.3,5631.0,5858.8,5735.9,4191.3,4233.7,4195.2,1.2,105.6,210.1,26547.0,106843.0,106988.0,111318.0,108983.0
20231019_407af1_023126_040546,step1_raw_2023-10-01_to_2023-11-01,244.0,4239.5,1387.5,5627.0,5650.3,5883.1,5741.5,4204.9,4262.8,4214.2,1.2,185.6,234.8,26363.0,106914.0,107356.0,111778.0,109089.0
20231019_4d0102_034950_051341,step1_raw_2023-10-01_to_2023-11-01,195.2,3399.1,2462.3,5861.4,5877.7,6081.7,5932.8,3364.4,3415.4,3349.9,0.7,129.8,210.7,46784.0,111366.0,111676.0,115552.0,112724.0
20231019_a0a54a_010251_021003,step1_raw_2023-10-01_to_2023-11-01,235.0,4595.6,2280.5,6876.1,6904.7,7326.1,6899.4,4556.6,4624.2,4591.4,1.4,213.3,338.2,43329.0,130645.0,131189.0,139195.0,131088.0
20231019_a11bc6_044220_054841,step1_raw_2023-10-01_to_2023-11-01,188.8,3097.6,2462.0,5559.5,5565.1,5745.9,5564.4,3065.0,3103.2,3049.3,0.6,65.8,199.6,46777.0,105631.0,105737.0,109171.0,105724.0
20231019_ac17e6_024211_040523,step1_raw_2023-10-01_to_2023-11-01,194.0,3414.2,2609.4,6023.6,6032.8,6254.7,6098.2,3379.2,3423.4,3371.8,0.8,96.5,211.4,49578.0,114448.0,114624.0,118839.0,115866.0
20231019_ac2cb2_031457_045201,step1_raw_2023-10-01_to_2023-11-01,213.5,3601.3,2967.1,6568.4,6588.0,6889.1,6596.9,3567.8,3620.9,3568.0,0.9,142.6,291.0,56374.0,124800.0,125171.0,130893.0,125340.0
20231019_c023bd_012318_024056,step1_raw_2023-10-01_to_2023-11-01,189.5,3119.7,2165.1,5284.8,5285.3,5491.2,5302.5,3087.0,3120.2,3081.1,0.6,18.0,215.9,41137.0,100412.0,100420.0,104332.0,100747.0
20231020_39d2a1_003722_020036,step1_raw_2023-10-01_to_2023-11-01,244.8,4295.5,1429.5,5725.0,5758.8,5909.5,5788.8,4260.6,4329.3,4252.6,1.2,223.2,214.4,27160.0,108775.0,109417.0,112280.0,109987.0
20231020_4007ed_035319_051650,step1_raw_2023-10-01_to_2023-11-01,205.2,3446.8,1970.0,5416.8,5421.1,5628.8,5451.4,3413.3,3451.1,3396.3,0.8,69.0,214.8,37430.0,102918.0,103001.0,106948.0,103576.0
20231020_407af1_025059_041411,step1_raw_2023-10-01_to_2023-11-01,241.5,4169.4,1226.3,5395.6,5439.7,5659.3,5497.0,4135.0,4213.4,4154.1,1.1,248.8,215.3,23299.0,102517.0,103353.0,107527.0,104443.0
20231020_4aca65_014410_025929,step1_raw_2023-10-01_to_2023-11-01,240.2,3829.2,1923.6,5752.8,5757.4,5958.2,5785.3,3797.4,3833.8,3810.5,0.8,77.3,218.7,36549.0,109302.0,109390.0,113206.0,109920.0
20231020_4b18fe_001743_012526,step1_raw_2023-10-01_to_2023-11-01,192.8,3101.1,2636.7,5737.9,5739.1,5946.9,5753.7,3069.2,3102.4,3048.2,0.6,30.9,205.9,50098.0,109019.0,109043.0,112992.0,109321.0
20231020_4d0247_025030_035950,step1_raw_2023-10-01_to_2023-11-01,212.8,3363.8,2292.2,5656.0,5698.7,5907.6,5698.4,3332.4,3406.5,3335.0,0.7,213.1,187.4,43551.0,107464.0,108275.0,112245.0,108270.0
20231020_7380c3_040147_050740,step1_raw_2023-10-01_to_2023-11-01,210.8,3100.7,3032.9,6133.7,6146.3,6263.1,6170.7,3071.5,3113.3,3038.9,0.6,106.9,164.4,57626.0,116540.0,116779.0,118999.0,117243.0
20231020_7380c5_045111_055708,step1_raw_2023-10-01_to_2023-11-01,214.0,3158.6,3006.5,6165.1,6169.2,6293.7,6237.8,3129.2,3162.7,3089.7,0.6,64.7,176.0,57123.0,117136.0,117215.0,119579.0,118518.0
20231029_896597_224136_003234,step1_raw_2023-10-01_to_2023-11-01,215.8,3647.0,3569.0,7216.0,7228.8,7438.0,7232.3,3613.4,3659.8,3595.8,0.9,118.5,244.3,67811.0,137103.0,137347.0,141323.0,137414.0
20231030_06a0e9_052353_063056,step1_raw_2023-10-01_to_2023-11-01,207.0,3679.9,3252.0,6932.0,6934.1,7097.7,6934.6,3644.6,3682.1,3605.5,0.9,47.9,197.1,61789.0,131708.0,131748.0,134857.0,131758.0
