segment_id,processing_day,icao24,segment_start_time,segment_end_time,gap_duration_minutes,adsc_point_count,segment_callsign,flight_callsign,flight_start_time,flight_end_time,estdepartureairport,estarrivalairport,is_valid,reasons,before_count,during_count,after_count,before_boundary_speed_kts,after_boundary_speed_kts,max_internal_speed_kts,median_internal_speed_kts,artifact_dir,adsc_path,adsb_before_path,adsb_after_path,stitched_minimal_path,metadata_path
20241201_a748bc_014217_024835,2024-12-01,a748bc,2024-12-01 01:42:17,2024-12-01 02:48:35,66.3,5,,DAL82,2024-11-30 23:27:07,2024-12-01 06:43:46,KATL,LFPG,True,[],1520,0,4040,584.6259072192205,514.8952961359844,543.2213449468011,538.8947764498489,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241201_a748bc_014217_024835,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241201_a748bc_014217_024835/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241201_a748bc_014217_024835/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241201_a748bc_014217_024835/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241201_a748bc_014217_024835/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241201_a748bc_014217_024835/metadata.json
20241201_4080bb_031951_043319,2024-12-01,4080bb,2024-12-01 03:19:51,2024-12-01 04:33:19,73.46666666666667,6,,BAW11J,2024-12-01 02:10:09,2024-12-01 08:14:47,KJFK,EGLL,True,[],3622,0,5772,599.8101749531664,512.4897553715969,570.7878447828232,528.6914700362103,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241201_4080bb_031951_043319,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241201_4080bb_031951_043319/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241201_4080bb_031951_043319/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241201_4080bb_031951_043319/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241201_4080bb_031951_043319/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241201_4080bb_031951_043319/metadata.json
20241201_4005bc_202422_225656,2024-12-01,4005bc,2024-12-01 20:24:22,2024-12-01 22:56:56,152.56666666666666,7,,BAW37J,2024-12-01 20:33:21,2024-12-02 04:00:58,EGLL,KJFK,True,[],4984,0,3124,458.00266261708697,449.6249061094998,450.7576924056835,446.91677052857085,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241201_4005bc_202422_225656,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241201_4005bc_202422_225656/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241201_4005bc_202422_225656/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241201_4005bc_202422_225656/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241201_4005bc_202422_225656/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241201_4005bc_202422_225656/metadata.json
20241202_c01754_031755_041844,2024-12-02,c01754,2024-12-02 03:17:55,2024-12-02 04:18:44,60.81666666666667,5,,ACA832,2024-12-02 02:57:06,2024-12-02 08:43:18,CYUL,EBBR,True,[],2643,0,5712,610.9956715628456,564.8020656096305,648.1680336725301,637.015354844089,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241202_c01754_031755_041844,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241202_c01754_031755_041844/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241202_c01754_031755_041844/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241202_c01754_031755_041844/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241202_c01754_031755_041844/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241202_c01754_031755_041844/metadata.json
20241202_801666_192612_205320,2024-12-02,801666,2024-12-02 19:26:12,2024-12-02 20:53:20,87.13333333333334,6,,AIC102,2024-12-02 18:09:33,2024-12-03 07:07:59,KJFK,VIDP,True,[],2786,0,4408,593.3759539486704,514.3062171158481,559.2764529206154,546.9588522636352,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241202_801666_192612_205320,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241202_801666_192612_205320/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241202_801666_192612_205320/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241202_801666_192612_205320/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241202_801666_192612_205320/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241202_801666_192612_205320/metadata.json
20241202_400684_211958_224210,2024-12-02,400684,2024-12-02 21:19:58,2024-12-02 22:42:10,82.2,5,,BAW37J,2024-12-02 21:00:10,2024-12-03 04:33:12,EGLL,KJFK,True,[],5144,0,3200,466.33092226795463,445.63573056620834,450.7140974473703,447.0970371846961,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241202_400684_211958_224210,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241202_400684_211958_224210/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241202_400684_211958_224210/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241202_400684_211958_224210/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241202_400684_211958_224210/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241202_400684_211958_224210/metadata.json
20241203_407af1_033615_044535,2024-12-03,407af1,2024-12-03 03:36:15,2024-12-03 04:45:35,69.33333333333333,5,,BAW81V,2024-12-03 00:19:49,2024-12-03 08:26:54,8TX7,EGLL,True,[],3598,0,5499,627.6644795263026,552.4268367086883,615.7893066427135,566.0102646287601,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241203_407af1_033615_044535,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241203_407af1_033615_044535/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241203_407af1_033615_044535/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241203_407af1_033615_044535/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241203_407af1_033615_044535/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241203_407af1_033615_044535/metadata.json
20241203_4b187a_192215_211437,2024-12-03,4b187a,2024-12-03 19:22:15,2024-12-03 21:14:37,112.36666666666666,7,,SWR18P,2024-12-03 18:21:52,2024-12-04 03:23:59,LSZH,KEWR,True,[],9493,0,2471,521.442771251708,428.5642658049506,403.3342538968647,384.4607565780084,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241203_4b187a_192215_211437,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241203_4b187a_192215_211437/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241203_4b187a_192215_211437/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241203_4b187a_192215_211437/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241203_4b187a_192215_211437/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241203_4b187a_192215_211437/metadata.json
20241203_801612_193415_204315,2024-12-03,801612,2024-12-03 19:34:15,2024-12-03 20:43:15,69.0,6,,AIC102,2024-12-03 18:09:49,2024-12-04 11:26:26,KJFK,,True,[],2997,0,4467,579.1340554024815,519.9226683793978,571.7928177623024,565.775987726947,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241203_801612_193415_204315,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241203_801612_193415_204315/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241203_801612_193415_204315/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241203_801612_193415_204315/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241203_801612_193415_204315/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241203_801612_193415_204315/metadata.json
20241203_4005bd_235302_021235,2024-12-03,4005bd,2024-12-03 23:53:02,2024-12-04 02:12:35,139.55,9,,BAW183,2024-12-03 23:34:12,2024-12-04 07:10:45,EGLL,KJFK,True,[],4473,0,3431,404.3071010601889,454.7293859965554,431.93364047468367,396.84044307964155,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241203_4005bd_235302_021235,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241203_4005bd_235302_021235/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241203_4005bd_235302_021235/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241203_4005bd_235302_021235/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241203_4005bd_235302_021235/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_2024-12-01_to_2025-01-01/flights/20241203_4005bd_235302_021235/metadata.json
