segment_id,processing_day,icao24,segment_start_time,segment_end_time,gap_duration_minutes,adsc_point_count,segment_callsign,flight_callsign,flight_start_time,flight_end_time,estdepartureairport,estarrivalairport,is_valid,reasons,before_count,during_count,after_count,before_boundary_speed_kts,after_boundary_speed_kts,max_internal_speed_kts,median_internal_speed_kts,artifact_dir,adsc_path,adsb_before_path,adsb_after_path,stitched_minimal_path,metadata_path
20250202_4b1882_173812_194242,2025-02-02,4b1882,2025-02-02 17:38:12,2025-02-02 19:42:42,124.5,4,,SWR14V,2025-02-02 14:39:34,2025-02-02 23:26:34,LSZH,KJFK,True,[],1719,0,3776,455.2867313872521,416.77522026918246,416.2954792415813,401.7945241302669,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250202_4b1882_173812_194242,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250202_4b1882_173812_194242/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250202_4b1882_173812_194242/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250202_4b1882_173812_194242/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250202_4b1882_173812_194242/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250202_4b1882_173812_194242/metadata.json
20250202_4006c0_201656_225708,2025-02-02,4006c0,2025-02-02 20:16:56,2025-02-02 22:57:08,160.2,6,,BAW189,2025-02-02 09:20:17,2025-02-03 02:19:34,,KEWR,True,[],3131,0,3120,672.3787475623764,436.2687834399198,440.6749125353567,423.14180422899847,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250202_4006c0_201656_225708,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250202_4006c0_201656_225708/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250202_4006c0_201656_225708/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250202_4006c0_201656_225708/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250202_4006c0_201656_225708/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250202_4006c0_201656_225708/metadata.json
20250203_4007ee_175759_200847,2025-02-03,4007ee,2025-02-03 17:57:59,2025-02-03 20:08:47,130.8,9,,BAW23K,2025-02-03 15:39:27,2025-02-04 00:56:08,EGKK,,True,[],95,0,415,443.73962930291924,407.7075212584145,421.95126818299815,416.7219685164039,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250203_4007ee_175759_200847,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250203_4007ee_175759_200847/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250203_4007ee_175759_200847/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250203_4007ee_175759_200847/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250203_4007ee_175759_200847/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250203_4007ee_175759_200847/metadata.json
20250203_4005ba_181254_211534,2025-02-03,4005ba,2025-02-03 18:12:54,2025-02-03 21:15:34,182.66666666666666,7,,BAW19N,2025-02-03 16:44:41,2025-02-04 00:07:05,EGLL,TXKF,True,[],2826,0,394,440.1811248055078,410.4173334581271,427.58352845556084,415.6540066749435,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250203_4005ba_181254_211534,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250203_4005ba_181254_211534/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250203_4005ba_181254_211534/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250203_4005ba_181254_211534/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250203_4005ba_181254_211534/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250203_4005ba_181254_211534/metadata.json
20250203_3475d3_220010_004544,2025-02-03,3475d3,2025-02-03 22:00:10,2025-02-04 00:45:44,165.56666666666666,4,,IBE2627,2025-02-03 20:11:50,2025-02-04 04:48:54,LEBL,KJFK,True,[],3217,0,3698,745.4362683035196,402.320529117006,422.64805546131515,405.1444321229226,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250203_3475d3_220010_004544,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250203_3475d3_220010_004544/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250203_3475d3_220010_004544/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250203_3475d3_220010_004544/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250203_3475d3_220010_004544/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250203_3475d3_220010_004544/metadata.json
20250205_4005c1_180429_203703,2025-02-05,4005c1,2025-02-05 18:04:29,2025-02-05 20:37:03,152.56666666666666,6,,BAW15K,2025-02-05 16:27:09,2025-02-05 23:51:09,EGLL,KJFK,True,[],2577,0,3584,576.6952894156423,429.9702924327767,430.28697876976156,407.4938597074621,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250205_4005c1_180429_203703,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250205_4005c1_180429_203703/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250205_4005c1_180429_203703/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250205_4005c1_180429_203703/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250205_4005c1_180429_203703/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250205_4005c1_180429_203703/metadata.json
20250205_a69822_192017_212634,2025-02-05,a69822,2025-02-05 19:20:17,2025-02-05 21:26:34,126.28333333333333,4,,DAL85,2025-02-05 16:49:58,2025-02-06 01:59:52,LFPG,KATL,True,[],297,0,3313,493.04018971526295,429.3719007710895,421.8231842575782,415.4891928725339,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250205_a69822_192017_212634,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250205_a69822_192017_212634/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250205_a69822_192017_212634/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250205_a69822_192017_212634/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250205_a69822_192017_212634/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250205_a69822_192017_212634/metadata.json
20250206_4005c1_183234_213123,2025-02-06,4005c1,2025-02-06 18:32:34,2025-02-06 21:31:23,178.81666666666666,4,,BAW19N,2025-02-06 17:13:17,2025-02-07 00:07:23,EGLL,TXKF,True,[],2889,0,356,675.193686196671,448.26190414035773,444.1620900398863,424.1165641606291,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250206_4005c1_183234_213123,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250206_4005c1_183234_213123/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250206_4005c1_183234_213123/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250206_4005c1_183234_213123/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250206_4005c1_183234_213123/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250206_4005c1_183234_213123/metadata.json
20250206_4007fb_191437_215046,2025-02-06,4007fb,2025-02-06 19:14:37,2025-02-06 21:50:46,156.15,9,,BAW97A,2025-02-06 17:54:45,2025-02-07 03:51:58,EGLL,,True,[],3107,0,3726,732.2750962065195,400.7720486205104,430.4090827895623,423.14686798198284,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250206_4007fb_191437_215046,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250206_4007fb_191437_215046/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250206_4007fb_191437_215046/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250206_4007fb_191437_215046/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250206_4007fb_191437_215046/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250206_4007fb_191437_215046/metadata.json
20250206_4243c4_200805_223305,2025-02-06,4243c4,2025-02-06 20:08:05,2025-02-06 22:33:05,145.0,4,,AZG264,2025-02-06 17:50:09,2025-02-07 02:00:35,ELLX,KJFK,True,[],1173,0,3427,465.6115789266886,417.6501091910398,438.0458448006543,427.8883503480246,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250206_4243c4_200805_223305,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250206_4243c4_200805_223305/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250206_4243c4_200805_223305/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250206_4243c4_200805_223305/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250206_4243c4_200805_223305/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/try/artifacts/step1_raw_20250201_20250228/flights/20250206_4243c4_200805_223305/metadata.json
