segment_id,processing_day,icao24,segment_start_time,segment_end_time,gap_duration_minutes,adsc_point_count,segment_callsign,flight_callsign,flight_start_time,flight_end_time,estdepartureairport,estarrivalairport,is_valid,reasons,before_count,during_count,after_count,before_boundary_speed_kts,after_boundary_speed_kts,max_internal_speed_kts,median_internal_speed_kts,artifact_dir,adsc_path,adsb_before_path,adsb_after_path,stitched_minimal_path,metadata_path
20250214_346386_164031_185849,2025-02-14,346386,2025-02-14 16:40:31,2025-02-14 18:58:49,138.3,7,,IBE0125,2025-02-14 14:55:35,2025-02-15 02:01:09,LEMD,,True,[],4026,0,4767,422.4136071312482,490.1091241533132,493.8796186629887,472.50395935541167,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_346386_164031_185849,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_346386_164031_185849/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_346386_164031_185849/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_346386_164031_185849/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_346386_164031_185849/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_346386_164031_185849/metadata.json
20250214_aaba9a_165039_171558,2025-02-14,aaba9a,2025-02-14 16:50:39,2025-02-14 17:15:58,25.316666666666666,5,,UAL919,2025-02-14 14:41:00,2025-02-14 22:03:21,EGLL,KIAD,True,[],3624,0,7656,516.185438499162,453.6034880209251,505.07904352430967,503.21308882686355,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_aaba9a_165039_171558,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_aaba9a_165039_171558/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_aaba9a_165039_171558/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_aaba9a_165039_171558/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_aaba9a_165039_171558/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_aaba9a_165039_171558/metadata.json
20250214_39c422_171000_181656,2025-02-14,39c422,2025-02-14 17:10:00,2025-02-14 18:16:56,66.93333333333334,5,,AFR474,2025-02-14 15:19:05,2025-02-14 23:52:49,LFPG,,True,[],4479,0,1377,417.27813232606064,471.0783842166228,465.6751162589599,454.9051254647807,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_39c422_171000_181656,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_39c422_171000_181656/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_39c422_171000_181656/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_39c422_171000_181656/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_39c422_171000_181656/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_39c422_171000_181656/metadata.json
20250214_347245_171117_184035,2025-02-14,347245,2025-02-14 17:11:17,2025-02-14 18:40:35,89.3,6,,CND599,2025-02-14 15:21:03,2025-02-14 23:50:29,EHAM,,True,[],5725,0,1053,459.74948698301847,466.5482935456869,496.8252077248711,479.73933195050284,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_347245_171117_184035,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_347245_171117_184035/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_347245_171117_184035/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_347245_171117_184035/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_347245_171117_184035/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_347245_171117_184035/metadata.json
20250214_40749b_171512_192208,2025-02-14,40749b,2025-02-14 17:15:12,2025-02-14 19:22:08,126.93333333333334,6,,BAW155,2025-02-14 15:38:11,2025-02-14 23:42:35,EGLL,TBPB,True,[],4326,0,1571,479.6383659676196,476.3232802386557,496.41103756189176,473.89610262838994,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_40749b_171512_192208,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_40749b_171512_192208/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_40749b_171512_192208/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_40749b_171512_192208/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_40749b_171512_192208/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_40749b_171512_192208/metadata.json
20250214_40742e_172810_182519,2025-02-14,40742e,2025-02-14 17:28:10,2025-02-14 18:25:19,57.15,5,,UBT72C,2025-02-14 16:12:22,2025-02-15 01:18:22,EGKK,KMIA,True,[],4348,0,9887,536.4557891924374,466.27244870476255,519.3970353333641,517.8974806424451,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_40742e_172810_182519,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_40742e_172810_182519/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_40742e_172810_182519/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_40742e_172810_182519/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_40742e_172810_182519/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_40742e_172810_182519/metadata.json
20250214_3c4b31_174446_185718,2025-02-14,3c4b31,2025-02-14 17:44:46,2025-02-14 18:57:18,72.53333333333333,7,,DLH402,2025-02-14 15:47:34,2025-02-14 23:33:48,EDDF,KEWR,True,[],6305,0,6284,506.7541934132923,477.934627013553,531.2724946711544,522.9965262997459,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_3c4b31_174446_185718,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_3c4b31_174446_185718/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_3c4b31_174446_185718/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_3c4b31_174446_185718/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_3c4b31_174446_185718/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_3c4b31_174446_185718/metadata.json
20250214_484410_175929_200049,2025-02-14,484410,2025-02-14 17:59:29,2025-02-14 20:00:49,121.33333333333333,4,,KLM671,2025-02-14 16:43:12,2025-02-14 23:48:50,EHAM,CYUL,True,[],4482,0,3157,529.1466281187727,432.749270715767,480.27082192191835,479.7278635949858,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_484410_175929_200049,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_484410_175929_200049/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_484410_175929_200049/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_484410_175929_200049/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_484410_175929_200049/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_484410_175929_200049/metadata.json
20250214_c01734_181517_193015,2025-02-14,c01734,2025-02-14 18:15:17,2025-02-14 19:30:15,74.96666666666667,4,,ACA857,2025-02-14 16:49:12,2025-02-14 23:50:01,EGLL,CYYZ,True,[],3499,0,3529,529.5088728549599,466.15412700203154,523.5445757789182,522.8494489180761,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_c01734_181517_193015,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_c01734_181517_193015/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_c01734_181517_193015/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_c01734_181517_193015/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_c01734_181517_193015/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_c01734_181517_193015/metadata.json
20250214_4007f0_182040_193936,2025-02-14,4007f0,2025-02-14 18:20:40,2025-02-14 19:39:36,78.93333333333334,6,,BAW23K,2025-02-14 15:48:19,2025-02-15 00:47:46,EGKK,,True,[],2607,0,2016,461.1918377316543,430.77156439871845,496.9648459115722,485.47900167215255,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_4007f0_182040_193936,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_4007f0_182040_193936/adsc.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_4007f0_182040_193936/adsb_before.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_4007f0_182040_193936/adsb_after.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_4007f0_182040_193936/stitched_minimal.parquet,C:/Users/ANTOINE/OneDrive/Desktop/aero_project/artifacts/step1_raw_20250214_20250215/flights/20250214_4007f0_182040_193936/metadata.json
